frame,time_remaining,score_a,score_b
95400,435,1,4
95460,33,1,4
95520,451,1,4
95580,37,1,4
95640,,1,4
95700,30,1,4
95760,22,1,4
95820,447,1,4
95880,438,1,4
95940,26,1,4
96000,445,1,4
96060,443,1,4
96120,431,1,4
96180,437,1,4
96240,,1,4
96300,10,1,4
96360,,1,4
96420,,1,4
96480,,1,4
96540,,1,4
96600,,1,4
96660,,1,4
96720,,1,4
96780,,1,4
96840,,1,4
96900,,1,4
96960,,1,4
97020,,1,4
97080,,1,4
97140,,1,5
97200,,,146
97260,,,
97320,,,
97380,,,
97440,,,
97500,,,
97560,,,
97620,,,
97680,,,
97740,,,
97800,,,
97860,,,
97920,,,
97980,,,
98040,,188,188
98100,,188,188
98160,,188,188
98220,,188,188
98280,,188,188
98340,,188,188
98400,,188,188
98460,,173,
98520,,197,
98580,,,
98640,,,
98700,,,
98760,,,
98820,,,
98880,,,
98940,,,
99000,,,
99060,,,
99120,,,
99180,,,
99240,,,
99300,,,
99360,,,
99420,,,
99480,,,
99540,,1,5
99600,,1,5
99660,,1,5
99720,,1,5
99780,,1,5
99840,,1,5
99900,,1,5
99960,,1,5
100020,,1,5
100080,,1,5
100140,,1,5
100200,,1,5
100260,,1,5
100320,,1,5
100380,,1,5
100440,,1,5
100500,,1,5
100560,,1,5
100620,,1,5
100680,,1,5
100740,,1,5
100800,,1,5
100860,,1,5
100920,,1,5
100980,,1,5
101040,,1,5
101100,,1,5
101160,,1,5
101220,,1,5
101280,52,1,5
101340,57,1,5
101400,478,1,5
101460,56,1,5
101520,55,1,5
101580,53,1,5
101640,471,1,5
101700,57,1,5
101760,,1,5
101820,50,1,5
101880,32,1,5
101940,37,1,5
102000,,160,
102060,,,
102120,,,
102180,,,
102240,,,
102300,,,
102360,,,
102420,,,
102480,,,
102540,,,
102600,,,
102660,,,
102720,,,
102780,,,
102840,,,
102900,,,
102960,,,
103020,,188,188
103080,,188,188
103140,,188,188
103200,,188,188
103260,,188,188
103320,,188,188
103380,,188,188
103440,,188,188
103500,,188,188
103560,,188,188
103620,,188,188
103680,,188,188
103740,,188,188
103800,,,
103860,,,
103920,,,
103980,,,
104040,,,
104100,,,
104160,,,
104220,,,
104280,,,
104340,,,
104400,,,
104460,,,
104520,,,
104580,,,
104640,,,
104700,,,
104760,,,
104820,,1,8
104880,,1,8
104940,,1,8
105000,,1,8
105060,,1,8
105120,,1,8
105180,,1,8
105240,,1,8
105300,,1,8
105360,,1,8
105420,,1,8
105480,,1,8
105540,,1,8
105600,,1,8
105660,,1,8
